2017-05-29 08:43:27,009 INFO  [org.apache.activemq.artemis.core.server:169] (ServerService Thread Pool -- 66) AMQ221035: Live Server Obtained live lock
2017-05-29 08:43:27,099 INFO  [org.jboss.ws.common.management:340] (MSC service thread 1-2) JBWS022052: Starting JBossWS 5.1.5.Final (Apache CXF 3.1.6) 
2017-05-29 08:43:27,403 INFO  [org.jboss.as.jpa:124] (MSC service thread 1-2) WFLYJPA0002: Read persistence.xml for postgreLocalDS
2017-05-29 08:43:27,422 INFO  [org.wildfly.extension.messaging-activemq:104] (MSC service thread 1-4) WFLYMSGAMQ0016: Registered HTTP upgrade for activemq-remoting protocol handled by http-acceptor-throughput acceptor
2017-05-29 08:43:27,425 INFO  [org.wildfly.extension.messaging-activemq:104] (MSC service thread 1-4) WFLYMSGAMQ0016: Registered HTTP upgrade for activemq-remoting protocol handled by http-acceptor acceptor
2017-05-29 08:43:27,426 INFO  [org.wildfly.extension.messaging-activemq:104] (MSC service thread 1-4) WFLYMSGAMQ0016: Registered HTTP upgrade for activemq-remoting protocol handled by http-acceptor-throughput acceptor
2017-05-29 08:43:27,422 INFO  [org.wildfly.extension.messaging-activemq:104] (MSC service thread 1-3) WFLYMSGAMQ0016: Registered HTTP upgrade for activemq-remoting protocol handled by http-acceptor acceptor
2017-05-29 08:43:27,774 INFO  [org.jboss.as.jpa:107] (ServerService Thread Pool -- 69) WFLYJPA0010: Starting Persistence Unit (phase 1 of 2) Service 'weather.war#postgreLocalDS'
2017-05-29 08:43:27,815 INFO  [org.apache.activemq.artemis.core.server:73] (ServerService Thread Pool -- 66) AMQ221007: Server is now live
2017-05-29 08:43:27,815 INFO  [org.apache.activemq.artemis.core.server:412] (ServerService Thread Pool -- 66) AMQ221001: Apache ActiveMQ Artemis Message Broker version 1.1.0.wildfly-017 [nodeID=cfbfe805-0310-11e7-9aa1-e7532da8d919] 
2017-05-29 08:43:27,855 INFO  [org.wildfly.extension.messaging-activemq:75] (ServerService Thread Pool -- 68) WFLYMSGAMQ0002: Bound messaging object to jndi name java:/ConnectionFactory
2017-05-29 08:43:27,859 INFO  [org.hibernate.jpa.internal.util.LogHelper:31] (ServerService Thread Pool -- 69) HHH000204: Processing PersistenceUnitInfo [
	name: postgreLocalDS
	...]
2017-05-29 08:43:27,889 INFO  [org.apache.activemq.artemis.jms.server:1559] (ServerService Thread Pool -- 71) AMQ121005: Invalid "host" value "0.0.0.0" detected for "http-connector" connector. Switching to "e1274dda7241". If this new address is incorrect please manually configure the connector to use the proper one.
2017-05-29 08:43:27,892 INFO  [org.wildfly.extension.messaging-activemq:75] (ServerService Thread Pool -- 71) WFLYMSGAMQ0002: Bound messaging object to jndi name java:jboss/exported/jms/RemoteConnectionFactory
2017-05-29 08:43:27,893 INFO  [org.apache.activemq.artemis.core.server:1227] (ServerService Thread Pool -- 70) AMQ221003: trying to deploy queue jms.queue.ExpiryQueue
2017-05-29 08:43:27,922 INFO  [org.apache.activemq.artemis.core.server:1227] (ServerService Thread Pool -- 67) AMQ221003: trying to deploy queue jms.queue.DLQ
2017-05-29 08:43:27,995 INFO  [org.jboss.weld.deployer:104] (MSC service thread 1-2) WFLYWELD0003: Processing weld deployment weather.war
2017-05-29 08:43:28,018 INFO  [org.jboss.as.connector.deployment:396] (MSC service thread 1-4) WFLYJCA0007: Registered connection factory java:/JmsXA
2017-05-29 08:43:28,196 INFO  [org.hibernate.Version:45] (ServerService Thread Pool -- 69) HHH000412: Hibernate Core {5.2.6.Final}
2017-05-29 08:43:28,208 INFO  [org.hibernate.cfg.Environment:213] (ServerService Thread Pool -- 69) HHH000206: hibernate.properties not found
2017-05-29 08:43:28,237 INFO  [org.apache.activemq.artemis.ra:253] (MSC service thread 1-4) Resource adaptor started
2017-05-29 08:43:28,238 INFO  [org.jboss.as.connector.services.resourceadapters.ResourceAdapterActivatorService$ResourceAdapterActivator:1994] (MSC service thread 1-4) IJ020002: Deployed: file://RaActivatoractivemq-rar
2017-05-29 08:43:28,240 INFO  [org.wildfly.extension.messaging-activemq:117] (MSC service thread 1-3) WFLYMSGAMQ0002: Bound messaging object to jndi name java:jboss/DefaultJMSConnectionFactory
2017-05-29 08:43:28,241 INFO  [org.jboss.as.connector.deployment:432] (MSC service thread 1-1) WFLYJCA0002: Bound JCA ConnectionFactory [java:/JmsXA]
2017-05-29 08:43:28,343 INFO  [org.hibernate.annotations.common.Version:66] (ServerService Thread Pool -- 69) HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
